pen name;pen down?;mode;interval;color;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
default;true;1;1000;65;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;3.422.222.222.222.220;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;3.777.777.777.777.770;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;38.125;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;37.875;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;38;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;38.375;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;35.875;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;34.857.142.857.142.800;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;36.285.714.285.714.200;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;35.714.285.714.285.700;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;3.557.142.857.142.850;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;33.833.333.333.333.300;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;35.6;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;34.4;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;38.8;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;39.8;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;37.4;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;35.4;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;34.2;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;39.25;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;42;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;44.666.666.666.666.600;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;39;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;37.666.666.666.666.600;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;29.333.333.333.333.300;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;33.666.666.666.666.600;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;34.666.666.666.666.600;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;38.333.333.333.333.300;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;38;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;38.333.333.333.333.300;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;36;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;42.333.333.333.333.300;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;37;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;30.333.333.333.333.300;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;26.666.666.666.666.600;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;38;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;37;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;37;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;37;15;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
